Year,Sample Location,Temp,PH,EC(µS/cm),TS(mg/l),TDS(mg/l),SS(mg/l),DO(mg/l),Salinity(%),month
2021,Chaktai Khal,22,7.50,3966.3,2486.0,2232.9,253.1,3.8,2.00,4
2021,CUFL,21.9,7.90,11040.1,6478.3,6248.9,229.4,6.3,7.13,5
2021,TSP,22,7.26,3141.4,1927.8,1670.1,257.6,5.0,1.87,5
2021,Chaktai Khal,22.4,7.39,865.6,901.7,440.7,461.0,0.9,0.49,5
2021,CUFL,21,7.17,10520.3,5480.5,5231.9,248.6,6.7,6.26,6
2021,TSP,21.8,7.32,7957.5,4218.3,3986.6,231.7,6.0,5.24,6
2021,Chaktai Khal,21.9,7.37,648.6,681.4,327.7,353.7,4.6,1.67,6
2021,CUFL,21.3,7.91,3932.4,5948.3,2015.9,829.4,7.9,2.52,7
2021,TSP,21,7.96,3367.4,4218.3,1655.5,763.9,7.2,2.14,7
2021,Chaktai Khal,21,7.16,576.3,706.3,310.8,395.5,5.2,0.40,7
2021,CUFL,21.7,7.97,3965.2,2915.4,2034.0,881.4,7.8,3.64,8
2021,TSP,21.2,8.02,3570.8,2597.9,1705.2,892.7,7.1,3.27,8
2021,Chaktai Khal,21,7.26,723.2,779.7,361.6,418.1,5.1,1.19,8
2021,CUFL,22.7,7.94,4226.2,3043.1,2272.4,770.7,7.5,3.60,9
2021,TSP,22.9,8.01,3774.2,3704.1,2000.1,1704.0,7.3,2.18,9
2021,KAFCO,22.5,7.88,4260.1,3889.5,2273.6,1615.9,7.5,2.73,9
2021,Chaktai Khal,22.6,7.26,709.6,791.0,350.3,440.7,5.2,0.90,9
2021,CUFL,22.4,7.43,9119.1,3043.1,5333.6,206.8,8.1,12.74,10
2021,TSP,22.5,7.59,5141.5,3704.1,2904.1,93.8,8.3,7.86,10
2021,KAFCO,22.7,7.41,9729.3,3889.5,5152.8,132.2,8.2,13.64,10
2021,Chaktai Khal,22.6,7.28,779.7,779.7,384.2,395.5,5.2,1.42,10
2021,CUFL,22.9,8.36,22532.2,13413.1,13221.0,192.1,8.0,19.81,11
2021,TSP,22.6,8.43,19944.5,11130.5,10915.8,214.7,8.2,15.84,11
2021,KAFCO,23.5,8.56,24170.7,15633.6,15447.1,186.5,8.3,21.61,11
2021,Chaktai Khal,22.6,8.30,22876.9,15209.8,14927.3,282.5,4.7,21.79,11
2021,CUFL,22.7,7.42,33990.4,22490.4,22181.9,308.5,9.5,29.25,12
2021,TSP,22.7,7.75,21503.9,13218.7,13074.1,144.6,7.2,17.28,12
2021,KAFCO,22.6,7.96,34917.0,22532.2,22215.8,316.4,9.6,29.34,12
2021,Chaktai Khal,23,7.74,13853.8,8226.4,8102.1,124.3,6.6,10.71,12
